DATE/TIME,ADDRESS,CITY,COUNTY,AGENCY,RANK,OFFICER NAME,YRS EXP,INJURIES,CLEARED?,BODY CAM,RACE,SEX,NOTES
5/13/18 11:00 AM,19249 SONOMA HIGHWAY,SONOMA,SONOMA,SONOMA COUNTY SHERIFF'S OFFICE,DEPUTY,GREG HALS,11,NONE,,ON,,M,
5/13/18 11:00 AM,19249 SONOMA HIGHWAY,SONOMA,SONOMA,SONOMA COUNTY SHERIFF'S OFFICE,DEPUTY,MIKE MATELLI,6,NOT FATAL,,ON,,M,
5/11/18 12:57 AM,WEBSTER ST & O'FARRELL ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,WILLIAM REININGER,0,NONE,,OFF,,M,
5/6/18 6:52 AM,500 S. 10TH ST.,SAN JOSE,SANTA CLARA,SAN JOSE POLICE DEPARTMENT,,,21,NONE,,ON,,M,
4/29/18 7:30 PM,COCHRANE PLAZA,MORGAN HILL,SANTA CLARA,MORGAN HILL POLICE DEPARTMENT,,,23,NONE,,,,M,
4/5/18 6:47 PM,FREMONT BLVD & NICOLET AVE,FREMONT,ALAMEDA,FREMONT POLICE DEPARTMENT,SGT.,KURTIS ROMLEY,,,,,,,
4/5/18 6:47 PM,FREMONT BLVD & NICOLET AVE,FREMONT,ALAMEDA,FREMONT POLICE DEPARTMENT,OFFICER,CALVIN GAZIANO,,,,,,,
4/5/18 6:47 PM,FREMONT BLVD & NICOLET AVE,FREMONT,ALAMEDA,FREMONT POLICE DEPARTMENT,OFFICER,JARED MADSEN,,,,,,,
4/5/18 6:47 PM,FREMONT BLVD & NICOLET AVE,FREMONT,ALAMEDA,FREMONT POLICE DEPARTMENT,OFFICER,CRAIG PERRY,,,,,,,
4/5/18 6:47 PM,FREMONT BLVD & NICOLET AVE,FREMONT,ALAMEDA,FREMONT POLICE DEPARTMENT,OFFICER,THOMAS DEGENSTEIN,,,,,,,
4/5/18 6:47 PM,FREMONT BLVD & NICOLET AVE,FREMONT,ALAMEDA,FREMONT POLICE DEPARTMENT,OFFICER,JAMIL ROBERTS,,,,,,,
4/5/18 6:47 PM,FREMONT BLVD & NICOLET AVE,FREMONT,ALAMEDA,FREMONT POLICE DEPARTMENT,OFFICER,RALPH MEREDITH,,,,,,,
4/3/18 12:00 PM,100 LAKEVILLE CIRCLE,PETALUMA,SONOMA,PETALUMA POLICE DEPARTMENT,,,,,,,,,
3/21/18 4:28 PM,949 GENEVA AVE,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,KEVIN ENDO,,NONE,,ON,,,
3/21/18 4:28 PM,949 GENEVA AVE,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,TESS CASEY,,NONE,,NONE,,,
3/15/18 9:00 PM,RUTH COURT,SAN LEANDRO,ALAMEDA,FREMONT POLICE DEPARTMENT,,,,,,,,,
3/11/18 6:17 PM,900 40TH ST,OAKLAND,ALAMEDA,OAKLAND POLICE DEPARTMENT,SGT.,FRANCISCO NEGRETE,9,NONE,,,,M,
3/11/18 6:17 PM,900 40TH ST,OAKLAND,ALAMEDA,OAKLAND POLICE DEPARTMENT,OFFICER,WILLIAM BERGER,4,NONE,,,,M,
3/11/18 6:17 PM,900 40TH ST,OAKLAND,ALAMEDA,OAKLAND POLICE DEPARTMENT,OFFICER,BRANDON HRAIZ,4,NONE,,,,M,
3/11/18 6:17 PM,900 40TH ST,OAKLAND,ALAMEDA,OAKLAND POLICE DEPARTMENT,OFFICER,CRAIG TANAKA,2,NONE,,,,M,
3/10/18 5:30 PM,1500 ALLEGRO AVE,CONCORD,CONTRA COSTA,CONCORD POLICE DEPARTMENT,,,,NONE,,,,,
3/9/18 10:20 AM,620 CALIFORNIA DRIVE,YOUNTVILLE,NAPA,NAPA COUNTY SHERIFF'S OFFICE,DEPUTY,STEVE LOMBARDI,,NONE,,ON,,M,
3/6/18 11:00 PM,CAPP ST & 21ST ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,STEPHEN CASSINELLI,,NONE,,ON,,M,
3/6/18 11:00 PM,CAPP ST & 21ST ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,CORBYN CARROLL,,NONE,,ON,,M,
3/6/18 11:00 PM,CAPP ST & 21ST ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,LOREN CHIU,,NONE,,ON,,,
3/6/18 11:00 PM,CAPP ST & 21ST ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,JOHN ISHIDA,,NONE,,ON,,M,
3/6/18 11:00 PM,CAPP ST & 21ST ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,JUAN GUSTILO,,NONE,,ON,,M,
3/6/18 11:00 PM,CAPP ST & 21ST ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,NICHOLAS NAGAI,,NONE,,ON,,M,
3/6/18 11:00 PM,CAPP ST & 21ST ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,SEAN O’ROURKE,,NONE,,ON,,M,
3/6/18 11:00 PM,CAPP ST & 21ST ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,COLBY SMETS,,NONE,,ON,,,
3/6/18 11:00 PM,CAPP ST & 21ST ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,ARI SMITH-RUSSACK,,NONE,,ON,,M,
3/6/18 11:00 PM,CAPP ST & 21ST ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,JOSHUA TUPPER,,NONE,,ON,,M,
3/2/18 2:56 AM,1650 NORTHPOINT PARKWAY,SANTA ROSA,SONOMA,SANTA ROSA POLICE DEPARTMENT,OFFICER,TIMOTHY GOOLER,3,NONE,,,,M,
2/28/18 3:40 PM,CROWLEY LANE,FAIRFIELD,SOLANO,FAIRFIELD POLICE DEPARTMENT,DETECTIVE,ROBERT MURRAY,,NONE,,,,M,
2/16/18 6:28 PM,OAK ST & STANYAN ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,GLENNON GRIFFIN,,NONE,,ON,,M,
2/16/18 6:28 PM,OAK ST & STANYAN ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,ANTHONY SHARRON,,NONE,,ON,,M,
2/16/18 6:28 PM,OAK ST & STANYAN ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,ROBBY WILKORN,,NONE,,ON,,M,
2/16/18 6:28 PM,OAK ST & STANYAN ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,MATTHEW NAZAR,,NONE,,ON,,M,
2/16/18 6:28 PM,OAK ST & STANYAN ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,GREGORY BUHAGIAR,,NONE,,ON,,M,
2/16/18 6:28 PM,OAK ST & STANYAN ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,STEVEN OESTERICH,,NONE,,OFF,,M,
2/16/18 6:28 PM,OAK ST & STANYAN ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,CHRISTOPHER COTTER,,NONE,,OFF,,M,
2/13/18 7:40 PM,MARIN ST & FLORIDA ST,VALLEJO,SOLANO,VALLEJO POLICE DEPARTMENT,OFFICER,RYAN MCMAHON,,NONE,,,,M,
2/8/18 5:15 PM,4600 GOLF COURSE ROAD,ANTIOCH,CONTRA COSTA,ANTIOCH POLICE DEPARTMENT,,,,NONE,,,,,
